acheteur_nom,titulaire_nom,titulaire_categorie,cpv_div,montant,offresRecues,ratio_to_median,titulaire_distance,acheteur_departement_nom,dateNotification
RESEAU DES ACHETEURS HOSPITALIERS,DEDIENNE SANTE (DEDIENNE SANTE - TRANSYSTEME SN),ETI,33,197843309.0,1.0,2079.933862489487,596.0,Paris,2025-01-13
CC VALLONS DE HAUTE-BRETAGNE COMMUNAUTE,ENGIE,GE,09,197340000.0,1.0,986.7,316.0,Ille-et-Vilaine,2024-11-27
COMMUNAUTE AGGLO TERRITOIRE COTE OUEST,TRANSREO,ETI,60,197178647.39,1.0,688.7784079028346,14.0,La Réunion,2025-12-17
REGION HAUTS-DE-FRANCE,ORANGE,GE,48,192000000.0,1.0,1389.2306191203934,,Nord,2022-04-22
RESEAU DES ACHETEURS HOSPITALIERS,STRYKER FRANCE SA,ETI,33,192000000.0,1.0,2018.502943650126,399.0,Paris,2024-12-06
RESEAU DES ACHETEURS HOSPITALIERS,EUROS,PME,33,192000000.0,1.0,2018.502943650126,674.0,Paris,2024-12-24
EHPAD LES FONTAINES,MOONGROUP,PME,66,192000000.0,1.0,2460.105292506519,249.0,Maine-et-Loire,2025-01-01
EHPAD LES BORDS DE SARTHE,MOONGROUP,PME,09,192000000.0,1.0,960.0,237.0,Maine-et-Loire,2026-02-18
RESEAU DES ACHETEURS HOSPITALIERS,IMPLANTS SERVICE ORTHOPEDIE,ETI,33,188160000.0,1.0,1978.1328847771235,24.0,Paris,2024-12-10
RESEAU DES ACHETEURS HOSPITALIERS,STRYKER FRANCE SA,ETI,33,184320000.0,1.0,1937.7628259041212,399.0,Paris,2024-12-06
RESEAU DES ACHETEURS HOSPITALIERS,ZIMMER BIOMET FRANCE,ETI,33,182426768.0,1.0,1917.8592094196804,363.0,Paris,2024-12-04
RESEAU DES ACHETEURS HOSPITALIERS,MOVE-UP,PME,33,178800000.0,1.0,1879.73086627418,471.0,Paris,2025-01-10
SYTRAL MOBILITES,,,79,172049990.0,1.0,1720.4999,,Rhône,2024-07-30
RESEAU DES ACHETEURS HOSPITALIERS,ZIMMER BIOMET FRANCE,ETI,33,167902104.0,1.0,1765.1608915054667,363.0,Paris,2024-12-04
SYTRAL MOBILITES (TRANSPORT),ALSTOM TRANSPORT SA,GE,45,163066069.0,1.0,1109.1822945288386,399.0,Rhône,2026-03-09
